attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
36.0,-15.17,-7.98,-7.66,-14.49,-20.08,-8.63,-13.26,-11.59,-5.25,-18.0
38.0,-16.38,-5.4,-11.25,-15.55,-15.3,-9.54,-9.08,-11.86,-8.38,-15.88
40.0,-16.01,-8.98,-7.02,-12.3,-15.75,-11.67,-8.18,-13.95,-12.26


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,0.0,-25.32,-25.21,-3.67,-6.6,-24.28,-24.72,0.0,-25.32,-14.61
2.0,-1.19,-25.3,-25.07,-2.42,-2.01,-25.87,-24.39,-14.32,-25.27,-26.68
4.0,-5.09,-25.37,-25.18,-6.57,-2.82,-25.2,-24.39,-17.92,-24.96,-26.21
6.0,-4.89,-25.24,-5.02,-1.15,-3.51,-18.64,-24.5,-10.13,-25.44,-23.68
8.0,-4.58,-25.75,-11.55,-2.46,-6.98,-25.77,-23.78,-9.39,-25.07,-26.64
10.0,-1.14,-25.07,-24.92,-3.34,-7.71,-25.4,-22.99,-11.86,-25.33,-25.7
12.0,-3.38,-24.43,-22.76,-1.19,-1.25,-24.94,-22.18,-16.88,-24.3,-25.36
14.0,-3.25,-23.93,-22.59,-2.27,0.0,-24.93,-22.57,-7.03,-23.82,-23.63
16.0,-5.45,-13.36,-18.08,-1.12,-6.69,-21.82,-20.88,-15.74,-24.09,-24.83
18.0,-7.23,-23.61,-20.49,-4.63,-4.25,-19.87,-19.84,-13.93,-22.74,-24.0
20.0,-8.16,-20.06,-20.76,-3.93,-6.63,-20.11,-18.23,-8.25,-21.7,-18.45
22.0,-1.74,-19.18,-19.46,-2.26,-1.7,-19.08,-16.45,-11.66,-20.14,-16.74
